jaar;aantal land en tuinbouwbedrijven;gemiddelde oppervlakte per bedrijf (ha)
1980;75706;8,38
1981;73292;8,58
1982;71255;8,79
1983;69807;8,94
1984;68083;9,15
1985;66408;9,33
1986;64624;9,53
1987;62814;9,76
1988;60983;9,98
1989;59365;10,19
1990;57811;10,45
1991;55719;10,81
1992;53569;11,23
1993;51632;11,81
1994;49659;12,4
1995;48002;12,89
1996;45963;13,6
1997;44424;14,2
1998;43410;14,65
1999;42282;15,05
2000;40949;15,55
2001;39276;16,17
2002;37895;16,78
2003;36577;17,36
2004;35486;17,86
2005;34410;18,3
2006;33272;18,79
2007;31984;19,5
2008;30666;20,34
2009;29394;21,1
2010;28331;21,77
2011;25982;23,63
2012;25217;24,51
2013;24884;25,03
2014;24252;25,41
2015;23995;25,38
2016;23981;25,87
2017;23225;26,31
2018;23361;26,5
2019;23318;26,66
2020;23225;26,9
