Month;Houses Sold
jan/91;401
feb/91;482
mrt/91;507
apr/91;508
mei/91;517
jun/91;516
jul/91;511
aug/91;526
sep/91;487
okt/91;524
nov/91;575
dec/91;558
jan/92;676
feb/92;639
mrt/92;554
apr/92;546
mei/92;554
jun/92;596
jul/92;627
aug/92;636
sep/92;650
okt/92;621
nov/92;614
dec/92;650
jan/93;596
feb/93;604
mrt/93;602
apr/93;701
mei/93;626
jun/93;653
jul/93;655
aug/93;645
sep/93;726
okt/93;704
nov/93;769
dec/93;812
jan/94;619
feb/94;686
mrt/94;747
apr/94;692
mei/94;691
jun/94;621
jul/94;628
aug/94;656
sep/94;677
okt/94;715
nov/94;646
dec/94;629
jan/95;626
feb/95;559
mrt/95;616
apr/95;621
mei/95;674
jun/95;725
jul/95;765
aug/95;701
sep/95;678
okt/95;696
nov/95;664
dec/95;709
jan/96;714
feb/96;769
mrt/96;721
apr/96;736
mei/96;746
jun/96;721
jul/96;770
aug/96;826
sep/96;770
okt/96;720
nov/96;771
dec/96;805
jan/97;830
feb/97;801
mrt/97;831
apr/97;744
mei/97;760
jun/97;793
jul/97;805
aug/97;815
sep/97;840
okt/97;800
nov/97;864
dec/97;793
jan/98;872
feb/98;866
mrt/98;836
apr/98;866
mei/98;887
jun/98;923
jul/98;876
aug/98;846
sep/98;864
okt/98;893
nov/98;995
dec/98;949
jan/99;875
feb/99;848
mrt/99;863
apr/99;918
mei/99;888
jun/99;923
jul/99;900
aug/99;893
sep/99;826
okt/99;872
nov/99;863
dec/99;873
jan/00;873
feb/00;856
mrt/00;900
apr/00;841
mei/00;857
jun/00;793
jul/00;887
aug/00;848
sep/00;912
okt/00;933
nov/00;880
dec/00;983
jan/01;936
feb/01;963
mrt/01;939
apr/01;909
mei/01;885
jun/01;882
jul/01;880
aug/01;866
sep/01;853
okt/01;871
nov/01;924
dec/01;979
jan/02;880
feb/02;948
mrt/02;923
apr/02;936
mei/02;978
jun/02;957
jul/02;956
aug/02;1014
sep/02;1044
okt/02;1006
nov/02;1024
dec/02;1048
jan/03;999
feb/03;936
mrt/03;999
apr/03;1012
mei/03;1078
jun/03;1193
jul/03;1168
aug/03;1206
sep/03;1131
okt/03;1144
nov/03;1093
dec/03;1129
jan/04;1165
feb/04;1159
mrt/04;1276
apr/04;1186
mei/04;1241
jun/04;1180
jul/04;1088
aug/04;1175
sep/04;1214
okt/04;1305
nov/04;1179
dec/04;1242
jan/05;1203
feb/05;1319
mrt/05;1328
apr/05;1260
mei/05;1286
jun/05;1274
jul/05;1389
aug/05;1255
sep/05;1244
okt/05;1336
nov/05;1214
dec/05;1239
jan/06;1174
feb/06;1061
mrt/06;1116
apr/06;1123
mei/06;1086
jun/06;1074
jul/06;965
aug/06;1035
sep/06;1016
okt/06;941
nov/06;1003
dec/06;998
jan/07;891
feb/07;828
mrt/07;833
apr/07;887
mei/07;842
jun/07;793
jul/07;778
aug/07;699
sep/07;686
okt/07;727
nov/07;641
dec/07;619
jan/08;627
feb/08;593
mrt/08;535
apr/08;536
mei/08;504
jun/08;487
jul/08;477
aug/08;435
sep/08;433
okt/08;393
nov/08;389
dec/08;277
jan/09;336
feb/09;372
mrt/09;339
apr/09;337
mei/09;376
jun/09;393
jul/09;411
aug/09;418
sep/09;386
okt/09;396
nov/09;375
dec/09;352
jan/10;346
feb/10;344
mrt/10;385
apr/10;420
mei/10;281
jun/10;307
jul/10;279
aug/10;278
sep/10;316
okt/10;282
nov/10;287
dec/10;331
jan/11;310
feb/11;281
mrt/11;305
apr/11;316
mei/11;308
jun/11;303
jul/11;295
aug/11;290
sep/11;302
okt/11;307
nov/11;314
dec/11;307
