Consumer;AO;AN;WBO;WBN
1;5;7;4;1
2;7;7;6;6
3;6;7;7;6
4;1;3;1;1
5;3;4;1;1
6;7;7;7;7
7;5;7;4;6
8;6;7;6;7
9;5;7;6;6
10;5;4;4;6
11;1;3;1;1
12;2;1;1;3
13;6;6;6;6
14;4;5;3;3
15;2;5;1;1
16;6;7;7;7
17;4;5;2;1
18;7;4;5;7
19;6;7;5;6
20;4;3;5;4
21;6;6;4;7
22;3;3;2;4
23;7;5;7;7
24;4;5;2;2
25;5;5;7;7
26;2;2;2;2
27;2;1;1;4
28;4;4;5;7
29;2;4;3;4
30;5;7;7;5
31;7;5;6;7
32;4;4;5;6
33;2;4;1;1
34;3;1;2;3
35;5;6;4;1
36;3;3;2;3
37;5;5;4;6
38;5;6;4;7
39;2;5;5;3
40;2;4;1;1
41;4;5;4;6
42;5;7;4;5
43;6;5;5;6
44;6;7;5;7
45;2;1;2;3
46;3;3;3;4
47;2;5;1;1
48;7;7;7;5
49;4;2;5;6
50;7;7;7;5
51;5;7;3;4
52;5;6;3;4
53;7;6;6;7
54;6;7;5;6
55;1;1;1;1
56;5;3;4;5
57;6;7;7;4
58;4;6;5;6
59;5;7;5;5
60;3;1;2;4
61;1;2;2;1
62;5;7;4;6
63;4;5;7;7
64;5;6;4;5
65;3;4;2;4
66;6;7;5;6
67;5;6;4;4
68;3;1;6;7
69;4;5;5;2
70;6;7;5;4
71;2;1;5;6
72;4;3;4;5
73;6;7;6;7
74;2;4;1;4
75;2;2;1;1
76;4;3;3;4
77;5;7;4;5
78;3;2;2;3
79;2;5;2;1
80;5;5;5;7
81;4;6;1;2
82;4;6;3;2
83;7;5;6;7
84;6;7;4;2
85;7;6;6;7
86;6;6;5;3
87;6;7;4;1
88;5;7;3;4
89;2;2;1;4
90;5;6;5;5
91;3;5;4;5
92;7;7;5;5
93;6;7;6;6
94;6;7;6;5
95;7;7;6;7
96;2;3;1;2
97;7;7;6;7
98;3;1;1;3
99;3;4;4;3
100;3;3;3;4
101;5;4;4;4
102;4;6;3;5
103;1;2;1;3
104;5;6;7;7
105;4;1;1;3
106;6;6;5;7
107;3;1;1;1
108;5;5;5;3
109;6;7;4;6
110;1;1;1;2
111;3;3;3;6
112;6;7;4;6
113;5;7;7;6
114;3;5;1;2
115;3;3;2;3
116;3;6;5;5
117;5;2;4;2
118;4;4;2;3
119;3;2;6;6
120;1;2;1;1
121;2;4;1;1
122;7;7;5;5
123;3;3;1;1
124;4;6;6;7
125;4;3;1;2
126;6;7;6;5
127;1;1;1;4
128;6;7;5;6
129;5;6;4;5
130;4;6;2;1
131;5;7;2;4
132;6;4;5;6
133;6;7;6;7
134;5;7;4;3
135;7;7;7;7
136;6;7;3;4
137;2;2;1;2
138;4;5;2;3
139;3;6;4;4
140;7;5;6;7
141;7;7;6;7
142;6;4;5;5
143;6;7;6;7
144;4;5;4;4
145;5;5;4;3
146;2;4;2;3
147;6;7;4;7
148;5;7;4;6
149;7;7;6;7
150;4;6;2;4
151;4;6;3;4
152;4;6;3;3
153;7;7;7;7
154;5;5;3;5
155;4;6;5;7
156;5;4;3;2
157;3;6;2;2
158;4;2;4;6
159;5;6;7;7
160;3;3;3;3
161;6;7;4;5
162;6;7;6;4
163;6;7;6;7
164;3;3;2;2
165;5;6;3;4
166;4;6;3;2
167;7;7;4;1
168;4;5;1;1
169;6;7;6;5
170;7;7;4;1
171;4;7;7;7
172;2;4;1;1
173;1;1;1;1
174;3;1;3;4
175;3;3;3;5
176;6;7;5;7
177;6;7;6;7
178;5;4;4;3
179;3;4;1;3
180;3;5;6;7
